No;Order
1;159.8965517
2;145.2298851
3;95.11877395
4;155.7428161
5;178.8678161
6;175.3678161
7;184.4928161
8;182.5057471
9;167.8390805
10;117.7279693
11;178.3520115
12;201.4770115
13;197.9770115
14;207.1020115
15;205.1149425
16;190.4482759
17;140.3371648
18;200.9612069
19;224.0862069
20;220.5862069
21;229.7112069
22;227.7241379
23;213.0574713
24;162.9463602
25;223.5704023
26;246.6954023
27;243.1954023
28;252.3204023
29;250.3333333
30;235.6666667
31;185.5555556
32;246.1795977
33;269.3045977
34;265.8045977
35;274.9295977
36;272.9425287
37;258.2758621
38;208.164751
39;268.7887931
40;291.9137931
41;288.4137931
42;297.5387931
43;295.5517241
44;280.8850575
45;230.7739464
46;291.3979885
47;314.5229885
48;311.0229885
49;320.1479885
50;318.1609195
51;303.4942529
52;253.3831418
53;314.0071839
54;337.1321839
55;333.6321839
56;342.7571839
57;340.7701149
58;326.1034483
59;275.9923372
60;336.6163793
61;359.7413793
62;356.2413793
63;365.3663793
64;363.3793103
65;348.7126437
66;298.6015326
67;359.2255747
68;382.3505747
69;378.8505747
70;387.9755747
71;385.9885057
72;371.3218391
73;321.210728
74;381.8347701
75;404.9597701
76;401.4597701
77;410.5847701
78;408.5977011
79;393.9310345
80;343.8199234
81;404.4439655
82;427.5689655
83;424.0689655
84;433.1939655
85;431.2068966
86;416.5402299
87;366.4291188
88;427.0531609
89;450.1781609
90;446.6781609
91;455.8031609
60;333.4202643
61;312.4202643
62;323.4202643
63;324.4202643
64;384.4202643
65;341.4202643
66;256.4202643
67;349.8405286
68;328.8405286
69;339.8405286
70;340.8405286
71;400.8405286
72;357.8405286
73;272.8405286
74;366.2607929
75;345.2607929
76;356.2607929
77;357.2607929
78;417.2607929
79;374.2607929
80;289.2607929
81;382.6810571
82;361.6810571
83;372.6810571
84;373.6810571
85;433.6810571
86;390.6810571
87;305.6810571
88;399.1013214
89;378.1013214
90;389.1013214
91;390.1013214
